A,B,C,D,E,F,G
商品编号,商品名称,二级分类,三级分类,首次入库时间,销量7天band,点击7天band
10593973,完美的自然：当代环境美学的哲学基础,哲学/宗教,美学,2011/4/18,E,E
10594009,国家地理阅读与写作训练 跨越时间和文化的贸易（中文版）,中小学教辅,中小学课外读物,2011/4/18,F,E
10594020,国家地理阅读与写作训练 丰收庆典（中文版）,中小学教辅,中小学课外读物,2011/4/18,E,F
10594043,发展我国自主知识产权汽车工业的政策选择,经济,工业经济,2011/4/18,F,E
10594045,书斋与书坊之间：清代子弟书研究,文学,文学理论,2011/4/18,F,F
10594074,双双中文教材（18）：中国古代哲学,哲学/宗教,中国哲学,2011/4/18,F,F
10594078,论公共财政与宪政国家：作为财政宪法学的一种理论前言,法律,经济法,2011/4/18,F,E
10594142,北大版新一代对外汉语教材·报刊教程系列：报刊语言基础教程（下）,大中专教材教辅,大学教材,2011/4/18,F,E
10594149,新金融系列教材：网络金融,大中专教材教辅,大学教材,2011/4/18,F,F
10594363,中国近代史读本（套装上下册）,历史,中国史,2011/4/18,E,E
10594406,普通高中选课与学习指南：地理,中小学教辅,高中通用,2011/4/18,F,F
10594510,集团诉讼问题研究,法律,诉讼法,2011/4/18,F,F
10594566,统计学/面向21世纪全国高职高专财经管理类规划教材,大中专教材教辅,高职高专教材,2011/4/18,F,F
10594635,科学与中国：院士专家巡讲团报告集（第3缉）,科学与自然,自然科学总论,2011/4/18,F,F
10594657,透过现象说本质：央视论坛2,文学,纪实文学,2011/4/18,F,F
10594766,哲学门（第6卷）（2005第2册）（总第12辑）,哲学/宗教,哲学理论与流派,2011/4/18,F,F
10594775,轻松生活韩国语,外语学习,韩语,2011/4/18,F,F
10594841,一个真实的爱因斯坦,传记,科学家,2011/4/18,F,F
10594882,电路基础/21世纪全国高职高专电子电工类规划教材,大中专教材教辅,高职高专教材,2011/4/18,F,F
10595045,剑桥美国小说新论3：《向苍天呼吁》新论（英文影印版）,文学,文学评论与研究,2011/4/18,F,F
10595269,健康、村庄民主和农村发展,医学,预防医学、卫生学,2011/4/18,E,F
10595454,《萨克森明镜》研究,法律,外国法律与港澳台法律,2011/4/18,E,E
10595455,民间生活的审美言说：汪曾祺小说文体论,文学,文学理论,2011/4/18,F,F
10595485,中国新时期文艺学史论,文学,文学理论,2011/4/18,F,F
10595524,公正底线：刑事司法公正性实证研究,法律,刑法,2011/4/18,F,F
10639338,ACM程序设计（第2版）,计算机与互联网,编程语言与程序设计,2011/5/16,E,E
10707060,曹文轩美文朗读：光着脊梁骑大马（珍藏版）,童书,儿童文学,2011/7/21,F,F
10707071,电机应用技术,大中专教材教辅,高职高专教材,2011/7/21,F,F
10794953,中外物理学精品书系·前沿系列6：岩石力学与岩石工程的稳定性,建筑,土力学、地基基础工程,2011/7/31,F,F
10826742,民俗学概论（第2版）,大中专教材教辅,大学教材,2011/9/19,E,E
10831811,全国高职高专规划教材·财经系列：经济法原理与实务,大中专教材教辅,高职高专教材,2011/9/23,F,F
10833662,材料科学与工程专业实验教程,大中专教材教辅,大学教材,2011/9/25,F,F
10871176,经济法原理,法律,经济法,2011/11/19,F,F
10871191,公共服务导论,外语学习,大学英语,2011/11/19,F,E
10876193,博雅对外汉语知识丛书：现代汉语语法答问（下）,外语学习,对外汉语,2011/11/29,E,E
10876199,中国儒学史（套装共9卷）,哲学/宗教,中国哲学,2011/11/29,E,E
10876200,战略财务的逻辑：我的偏执,管理,财务管理,2011/11/29,F,F
10902271,我的中文小故事2：两个轮子上的国家（注音版）（附CD-ROM光盘1张）,外语学习,对外汉语,2012/1/1,F,F
10907592,土木工程测量（第2版）/21世纪全国应用型本科土木建筑系列实用规划教材,大中专教材教辅,大学教材,2012/1/13,F,F
10916291,税务会计实训丛书：土地税业务实训,经济,财政税收,2012/2/3,F,F
10934749,工程项目管理（第2版）/21世纪全国应用型本科土木建筑系列实用规划教材,大中专教材教辅,大学教材,2012/3/1,F,F
10970283,国际服务贸易/21世纪经济与管理应用型本科规划教材·国际经济与贸易系列,大中专教材教辅,大学教材,2012/4/19,F,F
10981606,丁丁迪米历险记（英汉对照）（附MP3光盘1张）,外语学习,英语读物,2012/5/14,F,E
11007422,北大版对外汉语教材·基础教程系列·风光汉语：中级读写1（附光盘1张）,大中专教材教辅,大学教材,2012/6/6,F,E
11015920,北大基础教育文库·新人文读本：小学中年级（秋天卷）（第3版）,中小学教辅,中小学课外读物,2012/6/20,F,F
11015938,中国孩子最喜爱的情感读本：为自己喝彩（第2版）,童书,励志/成长,2012/6/20,F,F
11024462,走向真理的探索：白银时代俄罗斯宗教文化批评理论研究,哲学/宗教,宗教理论与概况,2012/6/28,F,F
11036373,简单有趣的韩语语法1,外语学习,韩语,2012/7/7,F,F
11036378,法的门前,法律,法学文集,2012/7/7,C,C
11063609,21世纪全国高等院校汽车类创新型应用人才培养规划教材·新能源汽车专业规划教材：电动汽车结构与原理,大中专教材教辅,大学教材,2012/8/13,F,E
11079897,全国高职高专公共英语教材·北京高等教育精品教材：新世纪应用英语教程（2）学生用书（附MP3光盘1张）,大中专教材教辅,高职高专教材,2012/9/21,F,F
11082556,传播学论丛：中国语境下的澳门影视产业,艺术,影视,2012/9/6,F,E
11082562,21世纪全国高等院校物流专业创新型应用人才培养规划教材：物流学概论,大中专教材教辅,大学教材,2012/9/6,F,F
11082580,财务管理/普通高等教育“十二五”应用型规划教材·21世纪经济与管理应用型本科规划教材·财务管理系列,大中专教材教辅,大学教材,2012/9/6,F,F
11091821,北大高等教育文库·大学之道丛书：大学的逻辑（第3版）,社会科学,教育,2012/9/18,E,E
11094616,21世纪全国高职高专土建立体化系列规划教材：建筑工程招投标与合同管理,大中专教材教辅,高职高专教材,2012/9/21,F,F
11094869,中国国际私法与比较法年刊（2011年·第14卷）,法律,国际法,2012/10/21,F,F
11104198,莎斋闲览：吴小如八十后随笔,文学,散文/随笔/书信,2012/10/16,F,E
11130277,北京大学中国画法研究院·众芳文存·宫殿·摩崖石刻与永恒：南通范氏诗文世家研究文汇,艺术,艺术理论与评论,2012/12/4,F,F
11139915,21世纪教育技术与信息传播丛书·新媒体与教育系列·游戏的力量：教育游戏与研究性学习,社会科学,教育,2012/12/14,F,E
11163490,我的第一本博物学名著·动物小说系列：野性的呼唤,童书,儿童文学,2013/1/12,F,E
11166786,CCES当代中国经济研究系列·金融发展滞后背景下中国经济快速增长之谜：外商直接投资角色的再思考,经济,中国经济,2013/1/20,F,F
11176906,感旧：周亮工及其《印人传》研究,艺术,艺术理论与评论,2013/2/1,F,F
11179295,木腿正义（增订版）,法律,法学文集,2013/2/4,E,D
11184171,MBA精选教材·英文影印版：管理会计（第15版）,大中专教材教辅,研究生教材,2013/3/2,F,E
11184188,中外物理学精品书系·引进系列6：量子霍尔效应·场论方法与相关主题（第2版）（影印版）,科学与自然,物理学,2013/3/2,F,E
11184210,演讲与口才技能实训教程（第2版）,励志与成功,演讲与口才,2013/3/2,F,E
